,Unnamed: 0,id,job title,company,location,applicants,days ago,body,seniority level,employment type,function,industry,links,keywords_job,keywords_loc
52,52,52,data engineer,Vectr.Consulting,"Edegem, Flemish Region, Belgium",Be among the first 25 applicants,5,"data engineer

Je fungeert als systeemspecialist, systeemanalist big data of simpelweg de databankbeheerder.

Jobomschrijving



Jouw profiel



Ons aanbod

Wij bieden je een energieke en uitdagende werkomgeving waar collega's en klanten centraal staan.Het team waarin je terecht komt is gedreven en gemotiveerd en gaat die extra mile om innovatief uit de hoek te komen.

We ondersteunen jouw evolutie: een long-term groeiplan gebaseerd op je interesses bovenop de juiste coaching en training.

Wij bieden jou een competitief salaris met extralegale voordelen als een bedrijfswagen, hospitalisatie- en groepsverzekering, laptop, en boven alles, een inspirerende werkomgeving met veel ruimte voor persoonlijke verbetering en kennisexpansie.",Entry level,Full-time,Information Technology,Information Technology and Services,https://be.linkedin.com/jobs/view/data-engineer-at-vectr-consulting-1727048534?refId=3bae459d-59bf-4de4-9010-da42be131930&position=3&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,data engineer,"edegem, flemish region, belgium"
53,53,53,Data engineer,Narato,"Kontich, Flemish Region, Belgium",Be among the first 25 applicants,1,"Narato, uiteraard!

Narato, 35 man sterk, wij denken strategisch mee met onze klanten, ontwikkelen een visie & bepalen samen de strategie om dat doel te bereiken. Kortom wij gaan naast onze klanten zitten en zijn een partner in de ware zin van het woord.

Het stond in de sterren geschreven en ondertussen kan je er niet langer naast kijken: data is het nieuwe goud. Om ons aanbod verder te verrijken zijn we op zoek naar één of meerdere data engineers. Als data engineer sta je middenin onze kernactiviteit.

Als jij Narato en haar klanten wil helpen te denken, als je overtuigd bent dat ons aller leven danig zal beïnvloeden, als voor jouw schaalbare clusters en eerder fun dan werk zijn en dit als gecombineerd wil zien met een geweldige work-life balans, dan ben jij de Naratorees die we zoeken.

Jij dus!

Functieomschrijving

Master in de computerwetenschappen of Bachelor Toegepaste Informatica (Applicatieontwikkeling, Databases)

Programming ervaring met minstens 1 van de volgende talen: C#, Python, Java,

Ruime interesse en kennis van een moderne database landschap.

Data modeming skills (relationeel, NoSQL, Big Data,…

Ervaring met ‘big data’ technologieën (Spark (bij voorkeur), Hadoop,…)

Sterke interesse in data science and machine learning algorithms,

Wiskunde is een uit de hand gelopen hobby voor jouw

Jouw expertise werk inspirerend op je team members

Helemaal into Cloud

Functieomschrijving

Master in de computerwetenschappen of Bachelor Toegepaste Informatica (Applicatieontwikkeling, Databases)

Programming ervaring met minstens 1 van de volgende talen: C#, Python, Java,

Ruime interesse en kennis van een moderne database landschap.

Data modeming skills (relationeel, NoSQL, Big Data,…

Ervaring met ‘big data’ technologieën (Spark (bij voorkeur), Hadoop,…)

Sterke interesse in data science and machine learning algorithms,

Wiskunde is een uit de hand gelopen hobby voor jouw

Jouw expertise werk inspirerend op je team members

Helemaal into Cloud

Nog een extra duwtje nodig??

Narato Academy: ons opleidingscenter

Narato R&D…spreekt voor zich

Narato Garage: nieuw in 2019…om Lieven Scheire het vuur aan de schenen te leggen

Narato Presidium: ons feestcomité…no further comments

Stevige MacBook Pro of Windows laptop (DELL)

Veel vakantie is voor ons ontzettend belangrijk, en dan kan je bij Narato niet beter zitten",Entry level,Full-time,Information Technology,Information Technology and Services,https://be.linkedin.com/jobs/view/data-engineer-at-narato-1298144780?refId=3bae459d-59bf-4de4-9010-da42be131930&position=4&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,data engineer,"kontich, flemish region, belgium"
54,54,54,"Statistical Modeller & Data Scientist - Mechelen, BE",Galapagos,"Mechelen, Flemish Region, Belgium",Not informed.,6,"Job Description

Pleased to meet you, we are Galapagos, a dynamic fast growing Biotech company with offices in Europe in Belgium (Mechelen), France (Romainville), the Netherlands (Leiden), Switzerland (Bazel) and in US, Boston.

We’re in the business of changing lives. In our quest to discover and develop life-improving medicines we go where no one has ever gone before. In every challenge we face, we see new opportunities. We want to challenge the impossible. We need thought leaders and rapid thinkers, entrepreneurs in spirit and status quo-fighters. Collaborative innovators and perseverant idealists. We need the best-in-class. In other words, we need you: The ‘make-it-happeners’.

We are looking for junior as well as experienced



You will be part of the rapidly expanding Biometrics team. Our mission is to apply the right statistical tools to clinical and RWE data to deliver the portfolio through collaborative scientific leadership and operational excellence. Our core business is the design and analysis of Phase 1-4 trials and accurate interpretation and communication of statistical results to support quantitative decision making.











You will be part of a fast growing and amazing company. As ‘make-it-happener’ you will get all the support you need to make your job successful. At Galapagos we aim to recruit the best people, who stand out among their peers, with integrity and excellent interpersonal and organizational skills. Our employees are the strength behind Galapagos, a highly motivated team, eager to maintain Galapagos’ leading position and achieve breakthroughs in pharmaceutical research. Galapagos offers a competitive remuneration package and a dynamic work environment.",Entry level,Full-time,Quality Assurance,Science,https://be.linkedin.com/jobs/view/statistical-modeller-data-scientist-mechelen-be-at-galapagos-1822066179?refId=3bae459d-59bf-4de4-9010-da42be131930&position=5&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,"statistical modeller & data scientist - mechelen, be","mechelen, flemish region, belgium"
55,55,55,Data Scientist,Musimap S.A.,"Oudergem, Brussels Region, Belgium",Not informed.,5,"Who Are We?

At Musimap we leverage the latest in machine learning and deep learning methods, empowered by a database of more than 1 million tracks labelled manually in a large-scale effort by music experts. We perform cloud-based big data analyses from the global catalog of music (35+ million tracks) to extract information about genres, sub-styles, vocal gender, moods and dozens of other parameters. Musimap is a B2B company and our customers include music streaming companies, labels, production music companies and advertising & branding companies - such as BMG, Warner Music, Universal Music, UnMute, and others. We also partner with IRCAM, BMAT, SoundtrackYourBrand and other institutions in the European H2020 project FuturePulse.

We have built fully Deep Learning based music search and tagging products. Our recent innovation „MusiMe“ is able to characterize people’s music listening habits into personality types following the MBTI and other schemes and brings music targeting and recommendation to a whole new level of personalization with regards to people’s interests & moods.

We are looking for a Data Scientist with experience in (Music) Recommendation.




Nice-To-Haves


Our company is growing and we are looking for passionate, self-driven and eager minds to come work with us on bringing the music recommendation and targeting market to the next level.

Our headquarter is in Brussels, Belgium. We have nice new offices at seedfactory in Brussels, which hosts other creative companies and regular art installations and events. We would like you to join our team in Brussels (remote work only acceptable in rare cases).

Musimap is an equal opportunity workplace and embraces diversity in our growing team. We welcome world-wide applications from diverse backgrounds and encourage particularly female applicants.

We offer you


Interested?

Reach out to us at click apply!",Entry level,Full-time,Engineering,Information Technology,https://be.linkedin.com/jobs/view/data-scientist-at-musimap-s-a-1727125825?refId=3bae459d-59bf-4de4-9010-da42be131930&position=6&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,data scientist,"oudergem, brussels region, belgium"
56,56,56,Senior Data Lake DevOps Engineer,ING,"Brussels, Brussels Region, Belgium",Be among the first 25 applicants,5,"Senior Data Lake DevOps Engineer

Indefinite, full time, Brussels

Your role & work environment

You are an energetic DevOps Engineer with a passion for Business Intelligence and a positive can-do mindset. You are a team player working as a core member of a multidisciplinary and cross-functional squad whom primary driver is the customer perspective. Close collaboration within and across the squads and with the consumer is of utmost importance for you.

As a DevOps Engineer, you contribute to accomplishing the squad's mission. You do this by working on the customer journey from the backlog, using the Agile method end-to-end. You continuously strive to improve yourself and your colleagues.

You will work in the Data Management Tribe that has as a goal to decouple the operational world from the reporting. As a Data Lake DevOps Engineer, you will play a key role in the strategy to become one global bank.



As a DevOps Engineer, you control both the design phase and the actual development and testing of applications. You understand the entire technology stack, so that you can bring applications into production and resolve incidents. This means you can contribute to completion of all activities in the backlog. The following items are vital in this:

Participate in theconform business requirements and technical guidelines

Collaborate





A colleague with a enthusiasm forand a knack for always . In other words, you strive to bring fresh ideas to life and embrace challenges in a fast changing and complex environment. You are a naturally collaborative person who listens and invests in others to achieve common goals. You love to challenge the status quo and are eager to propose creative solutions to problems.

As a Data Lake DevOps Engineer you will also need the following :



A clear purpose, a unique offer and a range of flexible compensation and other benefits:







There has never been a more interesting time to work at ING. We’re on a journey that’s centred around our customers, powered by technology and driven by smart, determined people. Our customers feel our people are empowering them to stay a step ahead in life and in business. We’re proud of that!",Associate,Full-time,Other,Information Technology and Services,https://be.linkedin.com/jobs/view/senior-data-lake-devops-engineer-at-ing-1753803616?refId=3bae459d-59bf-4de4-9010-da42be131930&position=7&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,senior data lake devops engineer,"brussels, brussels region, belgium"
57,57,57,Vacature | IT Engineer | Brussel,TEC,"Brussels Region, Belgium",Not informed.,6,"We are TEC, your strategic partner for engineering projects in the construction industry, automotive industry, pharma, (petro) chemical, IT and telecom. Our mission? Create added value for our customers. With us, passion, integrity, teamwork and creativity come first. Thanks to our extensive network and years of recruitment experience, we offer interesting jobs tailored to your expertise and expectations. Our team stands ready for an excellent follow-up! In this way we guarantee a fascinating and pleasant working environment for all our consultants.",Mid-Senior level,Full-time,Other,Outsourcing/Offshoring,https://be.linkedin.com/jobs/view/vacature-it-engineer-brussel-at-tec-1906926912?refId=3bae459d-59bf-4de4-9010-da42be131930&position=8&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,vacature | it engineer | brussel,"brussels region, belgium"
58,58,58,Senior Business Analyste,MYRIAD Data,"Brussels, Brussels Region, Belgium",Not informed.,5,"Vous êtes un bon communiquant et aussi gérer des projets, vous avez un vrai goût pour la data Rejoignez l’équipe de Myriad Data ! 
Localisé à Bruxelles, nous recherchons pour un de nos grand client dans le domaine de l'assurance un/une senior business & data analyste.
Vos missions :",Associate,Full-time,Information Technology,Consulting,https://be.linkedin.com/jobs/view/senior-business-analyste-at-myriad-data-1878082725?refId=3bae459d-59bf-4de4-9010-da42be131930&position=9&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,senior business analyste,"brussels, brussels region, belgium"
59,59,59,Database Engineer,Immoweb,"Watermael-Boitsfort, Brussels Region, Belgium",Not informed.,4,"  Immoweb is the leading Belgian website for Real Estate classifieds; i.e. listings for sales & rental of houses, apartments, offices, industrial buildings, building plots, garages, …
Immoweb federates and develops its activities based on the largest national audience and the best Real Estate offer coming from the private owners and the Real Estate Professionals (real estate agencies, property developers and notaries). Immoweb is part of the Axel Springer SE Group, one of the most influential media players, not only in the European market, but also in the emerging markets.",Mid-Senior level,Full-time,Information Technology,Internet,https://be.linkedin.com/jobs/view/database-engineer-at-immoweb-1852844942?refId=3bae459d-59bf-4de4-9010-da42be131930&position=10&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,database engineer,"watermael-boitsfort, brussels region, belgium"
60,60,60,Data engineer,Eventigrate,"Heverlee, Flemish Region, Belgium",Be among the first 25 applicants,1,"Description
Develop, maintain and test our data architecture
Be responsible for the ingestion of different kinds ofdata into our system
Process large data streams in a fluent and accessible way




Offer",Entry level,Full-time,Information Technology,Information Technology and Services,https://be.linkedin.com/jobs/view/data-engineer-at-eventigrate-1158074682?refId=3bae459d-59bf-4de4-9010-da42be131930&position=11&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,data engineer,"heverlee, flemish region, belgium"
61,61,61,Data Engineer Manager - Mechelen,Cartière,"Mechelen, Flemish Region, Belgium",Not informed.,3,"Data Engineer Manager - Mechelen

Bedrijf:
Dit bedrijf heeft een zeer sterke ondernemerscultuur. Met een no-nonsense aanpak helpen ze klanten om hun data in kaart te brengen en deze data te gebruiken als sturend element in het nemen van beslissingen. Met meer dan 30 medewerkers, gedreven in het BI & data gebeuren, kom je terecht in een dynamisch team dat samen één blok vormt. Verantwoordelijkheid nemen, plezier maken en meedenken met het bedrijf is een must!",Associate,Full-time,Information Technology,Information Technology and Services,https://be.linkedin.com/jobs/view/data-engineer-manager-mechelen-at-carti%C3%A8re-1881795113?refId=3bae459d-59bf-4de4-9010-da42be131930&position=12&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,data engineer manager - mechelen,"mechelen, flemish region, belgium"
62,62,62,Azure Data Engineer,Proximus SpearIT ⌘,"Brussels, Brussels Region, Belgium",Be among the first 25 applicants,3,"As Data Engineer you will interact with the business and IT people (architects, functional analysts, project managers, offshore developers) and participate in the data transformation program.
As part of this program, we are moving our enterprise data platform and Machine Learning solutions to the Microsoft Azure public cloud and in this migration, you will design and develop the optimal extraction, loading and transformation of data from a wide variety of data sources.
Next to this you will be developing data models for the Integration Layer in the Enterprise Data Hub and for the Information Delivery Layer.
You will also be working on several generic frameworks e.g. framework for logging, XML/JSON parser, etc.",Mid-Senior level,Full-time,Information Technology,Information Technology and Services,https://be.linkedin.com/jobs/view/azure-data-engineer-at-proximus-spearit-%E2%8C%98-1892278675?refId=3bae459d-59bf-4de4-9010-da42be131930&position=13&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,azure data engineer,"brussels, brussels region, belgium"
63,63,63,Data Scientist / Bioinformatician,Biocartis,"Mechelen, Flemish Region, Belgium",Not informed.,3,"The role of the Data Scientist/Bioinformatician is to :
Support the Biocartis organisation by performing data analysis that is needed for product development (assays, instruments, manufacturing line…), QC release and on market support.
Support assay development teams by developing decision trees that will be integrated into the assay specific software.",Associate,Full-time,Engineering,Information Technology,https://be.linkedin.com/jobs/view/data-scientist-bioinformatician-at-biocartis-1876232321?refId=3bae459d-59bf-4de4-9010-da42be131930&position=14&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,data scientist   bioinformatician,"mechelen, flemish region, belgium"
64,64,64,Senior Data Scientist,UCB,"Brussels, Brussels Region, Belgium",Not informed.,9,"Help us transform patients’ lives.

At UCB, we put our heart, soul and skills into making a difference for people living with severe disease. Working together to push the boundaries, we blend the best of our talents to unlock innovation. Will you join us in our pioneering adventure?

To strengthen our IT Advanced Analytics team in Anderlecht, Belgium, we are looking to fill the position of:
Senior Data Scientist.









To apply please go to
Discover more about the remarkable UCB Talent Blends and how you can contribute to the mix at",Associate,Full-time,Other,Biotechnology,https://be.linkedin.com/jobs/view/senior-data-scientist-at-ucb-1524557889?refId=3bae459d-59bf-4de4-9010-da42be131930&position=15&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,senior data scientist,"brussels, brussels region, belgium"
65,65,65,Data Engineer (Medior),E-Resourcing Ltd - Specialist I.T. Recruitment,"Brussels, Brussels Region, Belgium",Be among the first 25 applicants,2,"Job Description
As Data Engineer you will interact with the business and IT people (architects, functional analysts, project managers, offshore developers) and participate in the data transformation program.",Entry level,Full-time,Information Technology,Information Technology and Services,https://be.linkedin.com/jobs/view/data-engineer-medior-at-e-resourcing-ltd-specialist-i-t-recruitment-1893944450?refId=3bae459d-59bf-4de4-9010-da42be131930&position=16&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,data engineer (medior),"brussels, brussels region, belgium"
66,66,66,Young Graduate - IT Services,NTT Ltd.,"Diegem, Flemish Region, Belgium",Not informed.,6,"At NTT, we want to invest in the future generation, so you !
That is why one of our priorities is recruiting young people and creating opportunities to grow and learn.
Join our Young Graduate Program !
The Young Graduate Program at NTT combines a permanent job with a training program that aims at developing the skills of Young Grads.  
You’ll start your program with a ton of interesting courses, to already upskill your knowledge but also to find out what your cup of tea is and to learn where your strengths lie. After a month you will be allocated, in consultation, to a specific team and buddy. You will shadow your buddy to gain practical experience. Your buddy will coach you to take gradually projects to work on independently.
Not only will you be working alongside experts, you’ll also get a chance to tackle numerous challenges in an ambitious, hi-tech and data-driven working environment.",Mid-Senior level,Full-time,Information Technology,Consulting,https://be.linkedin.com/jobs/view/young-graduate-it-services-at-ntt-ltd-1875629750?refId=3bae459d-59bf-4de4-9010-da42be131930&position=17&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,young graduate - it services,"diegem, flemish region, belgium"
67,67,67,Developer,Abylsen Belgium,"Brussels, Brussels Region, Belgium",Not informed.,6,"ABYLSEN, created in 2005, is an international engineering consulting group with 1800 employees present in France, Belgium, Luxembourg and Switzerland. We are multi-specialists, we operate in 8 sectors of activity (automotive, railways, energy, life science ...) and are creators of ingenious solutions. We support our clients in their innovation, R&D and operational performance projects by providing complementary expertise and skills.",Associate,Full-time,Engineering,Information Technology,https://be.linkedin.com/jobs/view/developer-at-abylsen-belgium-1875608893?refId=3bae459d-59bf-4de4-9010-da42be131930&position=18&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,developer,"brussels, brussels region, belgium"
68,68,68,Senior Data Engineer,dFakto,"Brussels, Brussels Region, Belgium",Be among the first 25 applicants,8,"Job Description

You will be amazed by how we work together as a team at dFakto – a team that embraces collaboration and cohesion between people with different fields of expertise. Business specialists, solution developers, UX designers, data architects ─ just to name a few ─ all work at the same level with one unique goal: deliver the best solutions and maximum value to our clients. It is, we believe, this mix of different talents, together with our incisive consultancy and agile delivery methodology that help us to deliver maximum client satisfaction both today and we make sure in the future too.

As a Senior Data Engineer your main responsibilities will include:

You will also contribute to the development of the company through your vision and your taste for entrepreneurial activities

Profile",Associate,Full-time,Information Technology,Information Technology and Services,https://be.linkedin.com/jobs/view/senior-data-engineer-at-dfakto-1613894151?refId=3bae459d-59bf-4de4-9010-da42be131930&position=19&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,senior data engineer,"brussels, brussels region, belgium"
69,69,69,Data Engineer,Vivid Resourcing Ltd,Louvain Metropolitan Area,Not informed.,2,"My Client is looking for a Junior-Medior Data engineer who is looking to become part of a start up who operate predoiminantly in the Pharamecutical and Healthcare Sector.
  As a Data Engineer you will be working on implementing complex and large scale big data projects with a focus on collecting, parsing, managing, analyzing and visualizing large datasets to turn raw data into insights using multiple toolsets, techniques and cloud based platforms.",Mid-Senior level,Full-time,Information Technology,Consulting,https://be.linkedin.com/jobs/view/data-engineer-at-vivid-resourcing-ltd-1863322382?refId=3bae459d-59bf-4de4-9010-da42be131930&position=20&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,data engineer,louvain metropolitan area
70,70,70,Junior Big Data Engineer,Telenet,"Mechelen, Flemish Region, Belgium",Be among the first 25 applicants,4,"Job Description

CONTEXT

We believe that data makes better decisions. During the current data-revolution, we’ve seen multiple technology waves that allow us to execute on this vision. The Internet of Things allows us to measure, Big Data allows us to process and Artificial Intelligence helps us to make sense of it all. These technologies are only tools, that is why we want to invest in people that can . No data staying in stuffy data warehouses, no algorithms running solely on the laptops of data scientists, but insights delivered to actual decision makers in a clear way through reports, websites and apps. We take end-to-end responsibility in creating, delivering and running these products. We do this in an agile way, creating products that provide clear value to their users.

Telenet has a unique position to deliver on this vision with its large customer base, strong brand and IoT-enabled network. Being a larger company, we need people that are able to create value through collaboration and see challenge in the multitude of our product landscape. As a Data Engineer, you will become part of a team of motivated people, making decisions better through data.

If this sounds like a nice proposition, here is what you should have in store for us and what we will offer you.

ROLE





PROFILE












At the Information Technology Department, we embrace digital possibilities and are always ready to make it happen. We make a difference by choosing change and leading-edge innovation in digital and data technology that provides solutions for internal and external customers. The impact of our work is huge, no matter how small it starts.",Entry level,Full-time,Engineering,Information Technology,https://be.linkedin.com/jobs/view/junior-big-data-engineer-at-telenet-1884848255?refId=3bae459d-59bf-4de4-9010-da42be131930&position=21&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,junior big data engineer,"mechelen, flemish region, belgium"
71,71,71,Data Network Operations Engineer,Proximus,"Brussels, Brussels Region, Belgium",Not informed.,2,"Data Network Operations Engineer

We open up a world of digital opportunities so people live better and work smarter.
Job Content
This job will allow you to join the ""Corporate Network and Security"" (CNS) Operation team within the ""Cloud Service Center"" (CSC) department. The Corporate Network and Security infrastructure carries internal traffic, and provides connectivity & security services to Proximus and affiliates.

In this role you will be responsible for the operation of:














At Proximus you have the possibility to shape your own future and the digital future of our customers.",Entry level,Full-time,Information Technology,Marketing and Advertising,https://be.linkedin.com/jobs/view/data-network-operations-engineer-at-proximus-1863306374?refId=3bae459d-59bf-4de4-9010-da42be131930&position=22&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,data network operations engineer,"brussels, brussels region, belgium"
72,72,72,Math engineer & data scientist,Dekimo,"Louvain-la-Neuve, Walloon Region, Belgium",Not informed.,2,"We are looking for a polytech engineer with a strong level in applied mathematics and software engineering. For example, an “ingénieur civil” in applied mathematics with a strong level in software engineering (or reversely).
He/she would join our department specialized in Applied Mathematics, Data Science, IoT and Software Engineering,",Associate,Full-time,Engineering,Information Technology,https://be.linkedin.com/jobs/view/math-engineer-data-scientist-at-dekimo-1866277073?refId=3bae459d-59bf-4de4-9010-da42be131930&position=23&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,math engineer & data scientist,"louvain-la-neuve, walloon region, belgium"
73,73,73,BI Data Modeller / Engineer,Xquisit,"Brussels, Brussels Region, Belgium",Be among the first 25 applicants,3,"Description

Data analysis is becoming more and more important and in order to be fully prepared for tomorrow's challenges, we have put in place a new platform, new tools and new detailed and aggregated data for our business clients to support them in their analysis. We work closely with the business to analyse and model data.

In the DWH team, we strive to combine insurance business concepts and develop well reflected systems to respond a maximum to our business clients' reporting needs.",Entry level,Full-time,Business Development,Sales,https://be.linkedin.com/jobs/view/bi-data-modeller-engineer-at-xquisit-1891816066?refId=3bae459d-59bf-4de4-9010-da42be131930&position=24&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,bi data modeller   engineer,"brussels, brussels region, belgium"
74,74,74,BI Data Modeller / Engineer,Xquisit,"Brussels, Brussels Region, Belgium",Be among the first 25 applicants,3,"Description

Data analysis is becoming more and more important and in order to be fully prepared for tomorrow's challenges, we have put in place a new platform, new tools and new detailed and aggregated data for our business clients to support them in their analysis. We work closely with the business to analyse and model data.

In the DWH team, we strive to combine insurance business concepts and develop well reflected systems to respond a maximum to our business clients' reporting needs.",Entry level,Full-time,Business Development,Sales,https://be.linkedin.com/jobs/view/engineer-data-analysis-and-machine-learning-at-moebius-design-masters-in-innovation-1903440084?refId=3bae459d-59bf-4de4-9010-da42be131930&position=25&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,bi data modeller   engineer,"brussels, brussels region, belgium"
75,75,75,Big Data Engineer (2020 – G32),Capgemini,"Diegem, Flemish Region, Belgium",Be among the first 25 applicants,2,"Big Data engineer develop, maintain, test and evaluate big data solutions within organisations. Most of the time he/she is also involved in the design of big data solutions, because of the experience they have with Hadoop based technologies such as MapReduce, Hive MongoDB or Cassandra. A Big Data engineer builds large-scale data processing systems, is an expert in data warehousing solutions and should be able to work with the latest (NoSQL) database technologies.

A should have sufficient experience in software engineering before the move can be made to the field of big data. Experience with UNIX, object-oriented design, coding and testing patterns as well as experience in engineering (commercial or open source) software platforms and large-scale data infrastructures should be present.

Big Data engineer should also have the capability to architect highly scalable distributed systems, using different open source tools. He or she should understand how algorithms work and have experience building high-performance algorithms.

The Capgemini should embrace the challenge of dealing with petabyte or even exabytes of data on a daily basis. He/She understands how to apply technologies to solve big data problems and to develop innovative big data solutions. In order to be able to do this, the Big Data engineer should have extensive knowledge in different programming or scripting languages like Java, Linux, C++, PHP, Ruby, Phyton and/or R. Also expert knowledge should be present regarding different (NoSQL or RDBMS) databases such as MongoDB or Redis. Building data processing systems with Hadoop and Hive using Java or Python should be common knowledge to the big data technical consultant.

A generally works on implementing complex big data projects with a focus on collecting, parsing, managing, analysing and visualizing large sets of data to turn information into insights using multiple platforms. He or she should be able to decide on the needed hardware and software design needs and act according to the decisions. The Big Data engineer should be able to develop prototypes and proof of concepts for the selected solutions.",Mid-Senior level,Full-time,Engineering,Information Technology,https://be.linkedin.com/jobs/view/big-data-engineer-2020-%E2%80%93-g32-at-capgemini-1850676516?refId=816e6b9f-f262-4e13-ae31-a93ba850808a&position=1&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,big data engineer (2020 – g32),"diegem, flemish region, belgium"
76,76,76,Azure Data engineers - Belgium,La Computer Center,"Brussels, Brussels Region, Belgium",Be among the first 25 applicants,4,"Role - Azure Data Engineers
Start - ASAP
Location - Brussels
Duration - 6 months
Function
As Data Engineer you will interact with the business and IT people (architects, functional analysts, project managers, offshore developers) and participate in the data transformation program.
As part of this program, we are moving our enterprise data platform and Machine Learning solutions to the Microsoft Azure public cloud and in this migration, you will design and develop the optimal extraction, loading and transformation of data from a wide variety of data sources.
Next to this you will be developing data models for the Integration Layer in the Enterprise Data Hub and for the Information Delivery Layer.



proven experience in data modeling, business intelligence and big data engineering.

LA International Computer Consultants Ltd is an HMG Approved Consultancy and operates as an IT & Engineering Consultancy or as an Employment Business & Agency, depending upon the precise nature of the work, for security cleared jobs or non-clearance vacancies, we welcome applications from all sections of the community and from people with diverse experience and backgrounds.
Award Winning LA International Computer Consultants Ltd (Recruiter Awards for Excellence - Best IT, Best Public Sector & Gold Awards) and the most prestigious award that any business can receive The Queens Award for Enterprise: International Trade 2015.",Entry level,Contract,Information Technology,Information Technology and Services,https://be.linkedin.com/jobs/view/azure-data-engineers-belgium-at-la-computer-center-1884359029?refId=816e6b9f-f262-4e13-ae31-a93ba850808a&position=2&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,azure data engineers - belgium,"brussels, brussels region, belgium"
77,77,77,Senior Data Scientist,Devoteam,"Zaventem, Flemish Region, Belgium",Not informed.,2,"Company Description

Devoteam, 7200 colleagues in 18 countries, is a Digital Transformaker specialized in 7 digital offers:




As a senior Data Scientist you are responsible for providing a better understanding of collectable data to top management supporting root cause analysis, improvements programs, capacity planning, innovative programs, etc.



If you are a senior Data Scientist and fascinated by Data and can bring :


Additional Information",Associate,Full-time,Other,Information Technology and Services,https://be.linkedin.com/jobs/view/senior-data-scientist-at-devoteam-1737040940?refId=816e6b9f-f262-4e13-ae31-a93ba850808a&position=3&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,senior data scientist,"zaventem, flemish region, belgium"
78,78,78,Data Engineer,StepStone Belgium,"Brussels, Brussels Region, Belgium",Be among the first 25 applicants,4,"StepStone is one of the largest job sites in Europe and the secret of this success is mainly due to two factors: quality products and above all, passionate and talented people! As a Data Engineer you will join our Tribe and work with one of our scrum teams to help us keep our customers happy, solve the challenges of data warehousing in a rapidly growing platform whilst in an evolving marketplace. For us, teamwork is everything. We listen to each other, we adapt and we value honest feedback to help us keep on improving. Work in a Scrum team of 6 people Deliver a self-service BI model for the wider organisation Build, test, maintain and document ETL processes and data models Visualize business data needs with one of our reporting tools Support decision making in data related topics Support data analyst in capturing data needs from our internal clients You have experience in Data Warehousing, Data Modelling, Database Design, ETL You have knowledge of the AWS suite, such as AWS Redshift...",Entry level,Full-time,Information Technology,Internet,https://be.linkedin.com/jobs/view/data-engineer-at-stepstone-belgium-1880122899?refId=816e6b9f-f262-4e13-ae31-a93ba850808a&position=4&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,data engineer,"brussels, brussels region, belgium"
79,79,79,Data Scientist,Easyfairs,"Brussels, Brussels Region, Belgium",Not informed.,7,"Easyfairs has started the transition to better leverage its data to improve our decision making and our customer experience. To be able to achieve this, we are looking to expand our team of data scientists with solution-oriented profiles that aim for innovation and quality, combined with a customer centric mindset.



Working from our head office in Brussels and reporting to the Head of Data Intelligence, you – as our new Data Scientist - will be responsible for






To help us achieve these goals you should have experience or the eagerness to learn the following skills

Within the Data intelligence team, we are launching several long-term initiatives focused on “Visit the future” that will bring high business impact throughout the Easyfairs group.




You will get the opportunity to work in a fast-growing multinational company that aims for innovation, experimentation and a strong eye on quality. Worthy of our company’s tagline “Visit the future”, our company has absolutely no shortage of advanced AI use-cases for the team to tackle.

You will learn new skills through challenging projects and will be supported with an individual training plan tailored to your needs and interests.

As the team is growing rapidly you will have immediate impact on the way AI is being put in practice at Easyfairs.",Entry level,Full-time,Engineering,Information Technology,https://be.linkedin.com/jobs/view/data-scientist-at-easyfairs-1904620891?refId=816e6b9f-f262-4e13-ae31-a93ba850808a&position=5&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click,data scientist,"brussels, brussels region, belgium"
